Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.41863608,74517,0.635,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.42553693,75745,0.64,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.42658862,75932,0.605,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4324745,76980,0.85,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.43968242,78263,0.69,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.44304195,78861,0.625,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.44425285,79077,0.7,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.44716373,79595,0.855,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.44725844,79611,0.88,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.45521298,81027,0.685,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.45799974,81523,0.73,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.45960286,81809,0.895,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.46133584,82117,0.835,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4641696,82622,0.595,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4686209,83414,0.71,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.47722417,84945,0.67,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.47828215,85134,0.73,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.48101136,85620,0.64,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.48101136,85620,0.64,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4815065,85708,1.28,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4861399,83733,2.29,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4936314,87866,0.88,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.49386597,87908,0.685,
AERODACTYL_MEGA,ROCK_THROW_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.49462032,88042,0.845,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4953807,88165,1.35,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.4969233,88397,1.67,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.49800572,86163,2.35,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.49817252,88674,1.05,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.50032926,89058,0.675,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.50032926,89058,0.675,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5024254,89431,0.92,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5035514,87043,2.35,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5060584,90078,0.725,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5060857,90083,0.96,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5062204,90107,1.37,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5072309,90287,1.38,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SACRED_FIRE_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.51311994,91335,0.74,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5141061,91510,1.235,
HO_OH_SHADOW_FORM,INCINERATE_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.51494575,91660,0.745,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.51582605,91817,1.37,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.51834345,92265,1.255,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5191662,92411,0.965,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5196366,92495,0.855,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.52273047,93046,0.54,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5259113,93612,1.37,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5263558,93691,0.96,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5285893,94088,1.14,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5344762,95136,1.19,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5345867,93471,2.485,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5354955,95318,0.88,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.535688,95352,1.46,
AERODACTYL_SHADOW_FORM,ROCK_THROW_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5368288,95555,1.59,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.53805697,95774,1.485,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5386924,95887,0.9,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.54030335,96173,0.87,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5403559,96049,1.785,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5462991,97241,1.465,
HO_OH,EXTRASENSORY_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5488422,97693,0.585,
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55169183,98201,0.57,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55586183,98943,1.19,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55803907,99330,1.025,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,DRACO_METEOR,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55807555,99337,1.61,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55930996,99557,1.575,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.55957466,99604,1.54,
AERODACTYL_MEGA,ROCK_THROW_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5604195,99754,0.975,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5612679,99905,0.59,
HO_OH,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5612679,99905,0.59,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.561434,99935,1.15,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.56360674,96889,2.725,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5641244,100414,1.135,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5660235,100752,1.14,
MOLTRES,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5720799,101830,0.99,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5735101,100398,2.42,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5739443,102162,1.35,
CHARIZARD,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5748863,102329,1.33,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5793661,103127,1.655,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5814748,103502,1.39,
HO_OH,HIDDEN_POWER_ROCK_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5818374,103567,0.61,
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5818374,103567,0.61,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.58206,103606,1.73,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.58241946,103670,0.7,
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.58241946,103670,0.7,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5826799,103717,1.29,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5835819,103877,1.21,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.583642,103888,0.665,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5842358,102547,2.48,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5893047,104896,1.275,
PIDGEOT_MEGA,GUST_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.59255445,105474,1.375,
CHARIZARD,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5944143,105805,1.36,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5949238,105896,1.345,
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5950569,104328,2.56,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.59571564,106037,1.64,
MOLTRES,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.5961269,106110,1.095,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.59882087,106590,1.39,
ARCHEOPS,WING_ATTACK_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.60095084,106969,1.63,
HONCHKROW_SHADOW_FORM,SNARL_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.60145634,104039,2.925,
CHARIZARD,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6025419,107252,1.38,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.60282403,107302,1.23,
AERODACTYL_MEGA,ROCK_THROW_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.60328066,107383,1.02,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6064598,107949,1.42,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,HYDRO_PUMP,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6076911,108169,1.84,
AERODACTYL_SHADOW_FORM,ROCK_THROW_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.60852534,108317,1.83,
CHARIZARD,EMBER_FAST,BLAST_BURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.61003363,108585,1.42,
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6100834,108594,1.81,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,FUTURESIGHT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6112237,108797,1.095,
AERODACTYL_MEGA,ROCK_THROW_FAST,HYPER_BEAM,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6133648,109178,1.015,
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.61422604,109332,1.46,
CHARIZARD,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6160767,109661,1.435,
CHARIZARD,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.61636305,109712,1.46,
MOLTRES,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.61774206,109958,1.12,
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6187154,109288,2.65,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6192418,110225,1.32,
SALAMENCE_SHADOW_FORM,DRAGON_TAIL_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6199561,110352,1.83,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6207449,110492,1.395,
TORNADUS_THERIAN_FORM,GUST_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.62162256,110648,1.515,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.62252814,110810,1.555,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6285227,111877,0.98,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.63041687,112214,1.085,
SALAMENCE,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.63126594,112365,1.51,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.632197,112519,2.305,
AERODACTYL,ROCK_THROW_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6366183,113318,1.515,
AERODACTYL_MEGA,STEEL_WING_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.63811064,113583,1.075,
MOLTRES,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6405122,114011,1.23,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.64140874,114170,1.55,
CHARIZARD,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6434525,114534,1.53,
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6472498,115210,1.65,
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6479024,115326,1.87,
AERODACTYL_MEGA,ROCK_THROW_FAST,IRON_HEAD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6504012,115771,1.075,
CHARIZARD,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6513965,115948,1.55,
CHARIZARD,EMBER_FAST,OVERHEAT,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.65726876,116993,1.545,
AERODACTYL_MEGA,BITE_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.65928215,117352,1.12,
SALAMENCE_SHADOW_FORM,DRAGON_TAIL_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6609982,117657,1.975,
HONCHKROW,PECK_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.66207385,116596,2.97,
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6626096,117944,1.615,
CHARIZARD,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.66413015,118215,1.575,
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.66446745,118275,1.56,
SALAMENCE_SHADOW_FORM,DRAGON_TAIL_FAST,DRACO_METEOR,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6667359,118678,2.005,
RAYQUAZA,AIR_SLASH_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6667969,118689,1.65,
RAYQUAZA,AIR_SLASH_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6692144,119120,1.63,
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.67034584,119321,1.05,
AERODACTYL_MEGA,ROCK_THROW_FAST,EARTH_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6718502,119589,1.145,
RAYQUAZA,AIR_SLASH_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6729072,119777,1.73,
SALAMENCE,FIRE_FANG_FAST,DRACO_METEOR,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.67602384,120332,1.69,
YVELTAL,SNARL_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.67623174,120369,1.52,
AERODACTYL_SHADOW_FORM,ROCK_THROW_FAST,HYPER_BEAM,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6803407,121100,2.15,
AERODACTYL_SHADOW_FORM,STEEL_WING_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6806974,121164,2.11,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.68445146,121832,1.8,
AERODACTYL_MEGA,STEEL_WING_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6864472,122187,1.205,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.68786275,122439,1.195,
SALAMENCE_SHADOW_FORM,BITE_FAST,FIRE_BLAST,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.68836665,122529,2.05,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.69106126,122963,2.375,
AERODACTYL_MEGA,BITE_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6924468,123255,1.165,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,DRACO_METEOR,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.69316214,123382,1.815,
ARCHEOPS,STEEL_WING_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.694227,123572,2.0,
ARCHEOPS,WING_ATTACK_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6966037,123995,2.035,
MOLTRES,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6979948,124243,1.415,
YVELTAL,SNARL_FAST,HURRICANE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.6996447,124536,1.615,
SALAMENCE,FIRE_FANG_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70187956,124934,1.78,
YVELTAL,GUST_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70270276,125081,1.69,
LUGIA,DRAGON_TAIL_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70274127,125087,1.01,
AERODACTYL_SHADOW_FORM,BITE_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70650244,125757,2.25,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70722044,125885,1.32,
HONCHKROW,SNARL_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70749,124751,3.2,
MOLTRES,FIRE_SPIN_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.70875,126157,1.445,
AERODACTYL_SHADOW_FORM,ROCK_THROW_FAST,IRON_HEAD,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.710844,126530,2.285,
YVELTAL,SUCKER_PUNCH_FAST,PSYCHIC,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7109047,126541,1.69,
BRAVIARY,AIR_SLASH_FAST,ROCK_SLIDE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7140295,127097,1.715,
SALAMENCE,FIRE_FANG_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7147378,127223,1.86,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,DRAGON_CLAW,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7166226,127558,1.905,
TORNADUS_THERIAN_FORM,GUST_FAST,HEAT_WAVE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7178305,127773,1.845,
TORNADUS,AIR_SLASH_FAST,RETURN,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7179884,127801,2.115,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.71892303,127968,1.905,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FRUSTRATION,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7194973,128070,2.155,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7244183,128946,2.025,
AERODACTYL,ROCK_THROW_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7246153,128981,1.82,
SALAMENCE_SHADOW_FORM,BITE_FAST,OUTRAGE,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.725853,129201,2.17,
MOLTRES,FIRE_SPIN_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7266459,129342,1.46,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,ANCIENT_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.7286516,129699,2.065,
AERODACTYL_SHADOW_FORM,ROCK_THROW_FAST,EARTH_POWER,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.734857,130804,2.345,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,DRACO_METEOR,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.73518884,130863,1.895,
SALAMENCE,FIRE_FANG_FAST,HYDRO_PUMP,40,15/15/15,ARIADOS,RANDOM,RANDOM,0.73529816,130883,1.9,
