Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.0,120242,1.71,0.6755224
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.0259340622901625,123361,1.73,0.69304144
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.0534534458072746,126670,1.185,0.7116314
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.0681859698508887,128441,2.0,0.72158355
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.114236715170363,133979,2.11,0.75269186
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.1162478549934096,132154,3.48,0.75405043
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.1167093348791988,134158,3.04,0.75436217
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.1356894456793736,135216,3.565,0.76718366
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.1357752163362755,135209,3.545,0.7672416
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.151060423755008,138406,1.425,0.7775671
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.151060423755008,138406,1.425,0.7775671
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.172013200450496,140926,2.2,0.79172117
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.189554336022018,141231,3.811436309627817,0.8035706
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2065862656811974,145083,1.725,0.81507605
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2178645741429153,146439,2.335,0.8226948
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2189993255590044,146576,1.75,0.82346135
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2242532594033892,147207,2.53,0.8270105
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2295075633317267,147839,1.625,0.8305599
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2295075633317267,147839,1.625,0.8305599
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.252726408480311,150589,3.5,0.84624475
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2553612877974145,150948,2.695,0.84802467
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2585694123540538,151334,1.525,0.85019183
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2656064995031995,152180,1.165,0.85494554
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2939926196377798,155593,2.54,0.874121
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.2982534109897763,156105,2.54,0.87699926
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3119236312519023,157749,2.535,0.8862338
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3122638716347528,157677,3.56537120359955,0.88646364
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3216440343058944,158918,1.575,0.89280015
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3317496207379653,160133,1.36,0.8996267
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3399946026956324,161124,1.97,0.90519637
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.340158712723664,161144,3.5758679105170335,0.90530723
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.340165862745632,161145,3.215,0.90531206
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3483840654284744,162109,3.545,0.91086364
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3527609151080706,162659,1.395,0.9138203
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3527609151080706,162659,1.395,0.9138203
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3612841853948887,163684,2.71,0.91957796
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3699172669921826,164722,1.82,0.9254098
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3730899227027853,165104,2.755,0.927553
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3751381153311868,165350,2.525,0.9289366
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.391359131836339,167301,2.975,0.93989426
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.397734893765181,168067,3.376557060871201,0.94420123
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.3983508614962288,168098,3.73175666030081,0.94461733
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4165351141575766,170328,2.724111749609778,0.9569012
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4267449902475478,171556,1.555,0.9637982
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4289822217590418,171825,1.2481586703782543,0.9653095
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4425039051258701,173450,1.4783483711630678,0.9744437
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4466399633824134,173948,2.7423312663006065,0.9772377
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.456696269435329,175157,2.789332512816614,0.98403096
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4609506065231888,175669,2.0812857669766647,0.98690486
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.486294162858256,178716,2.2518140013120074,1.004025
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.4996460517075376,180322,3.0529450226065977,1.0130445
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5048654197107305,180949,3.201161973084439,1.0165703
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5058362239357275,181065,1.9063850309213541,1.0172261
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5077412680911841,181295,2.2060796450484563,1.018513
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5123272004007566,181846,2.357616560800369,1.0216109
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5330672972502468,184340,4.02211089578557,1.0356213
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5397026064568695,185138,2.0565428133288197,1.0401036
ARTICUNO_SHADOW_FORM,FROST_BREATH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5817642760624964,190196,3.0464218986069564,1.0685172
LUGIA,DRAGON_TAIL_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.584177519501944,190486,1.824300707942755,1.0701474
ARTICUNO_SHADOW_FORM,ICE_SHARD_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.5851308557643686,190601,3.0931521011260172,1.0707914
YVELTAL,SNARL_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.591585712035604,191377,2.8569180969277856,1.0751518
DRAGONITE,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6141895516714178,194095,2.3800504689919264,1.0904212
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6292192531291338,195902,2.24193700169018,1.1005741
YANMEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6403207354782021,197237,2.939593218144436,1.1080734
CROBAT,AIR_SLASH_FAST,SLUDGE_BOMB,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6405698759952299,197267,2.9294314674045507,1.1082417
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.65718620137541,199265,1.9985348995311731,1.1194664
YANMEGA,BUG_BITE_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6596832318217725,199565,2.9436718447649217,1.1211532
TOGEKISS,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6602365813480056,199632,2.9448853120847667,1.121527
TOGEKISS,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6763322726233802,201567,3.016777153305775,1.1324
GLISCOR_SHADOW_FORM,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6785154718777648,201776,4.816339549122109,1.1338748
NINJASK,FURY_CUTTER_FAST,BUG_BUZZ,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6804590047643129,200426,4.790084662637898,1.1351877
YVELTAL,SUCKER_PUNCH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6875982202810744,202921,2.998672902590789,1.1400104
TALONFLAME,FIRE_SPIN_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.6937034212336999,203655,3.636486714914339,1.1441346
SWELLOW,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7068760414162434,203947,5.735276112876631,1.153033
TALONFLAME,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7129816864696126,205974,3.6295169142434207,1.1571575
TOGEKISS,HIDDEN_POWER_FLYING_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7164064433688653,206385,3.013193427962711,1.159471
SWELLOW,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7168471393398652,205742,5.7167768078415016,1.1597687
SKARMORY_SHADOW_FORM,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7234997684754794,207238,3.2147475719851037,1.1642627
SKARMORY_SHADOW_FORM,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.728038478072674,207784,3.242226446712465,1.1673287
CROBAT_SHADOW_FORM,AIR_SLASH_FAST,AIR_CUTTER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7295346534770721,207964,3.6524045428538865,1.1683394
SCYTHER,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7343347903785278,208541,3.157428941587242,1.171582
SCYTHER,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.742287746490716,209497,3.158148252117861,1.1769544
UNFEZANT,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7443528149473655,209746,4.650255252949101,1.1783494
FEAROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.751707271291078,210630,5.269317321408156,1.1833175
TOGEKISS,HIDDEN_POWER_FLYING_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7528086411346244,210763,3.0870725871620532,1.1840615
NOIVERN,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.756806732093562,211243,2.914901026475937,1.1867623
PIDGEOT,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.768786793746588,212684,4.264384683040465,1.1948551
TALONFLAME,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.773105821509398,213203,3.71028627694843,1.1977727
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7757474807645168,213521,2.06732707987888,1.1995572
DRAGONITE,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7777320189530355,213759,2.5927568408527053,1.2008978
SCYTHER_SHADOW_FORM,STEEL_WING_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7780294184175092,213795,3.831694407891784,1.2010987
CHATOT,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7804533202747979,208670,6.521869748890813,1.2027361
BRAVIARY,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7856392326886572,214710,3.713118657300433,1.2062393
TORNADUS,BITE_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.78796868912119,214990,4.263486467959839,1.2078129
DRAGONITE,STEEL_WING_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.7941057172937567,215728,2.571113989773041,1.2119586
GLISCOR_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8086852486312819,217392,5.1959766091078565,1.2218074
TOGEKISS,HIDDEN_POWER_POISON_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8232265873048772,219230,3.1840302314705577,1.2316304
TOGEKISS,HIDDEN_POWER_ICE_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8232265873048772,219230,3.1840302314705577,1.2316304
TOGEKISS,HIDDEN_POWER_FIRE_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8232265873048772,219230,3.1840302314705577,1.2316304
TOGEKISS,HIDDEN_POWER_BUG_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8232265873048772,219230,3.1840302314705577,1.2316304
LUGIA,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8513359438561923,222610,2.131719131553905,1.2506189
PIDGEOT,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8592271699650524,223558,4.482999348540441,1.2559496
PIDGEOT,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8654198587641209,224303,4.438388533482189,1.2601329
DRAGONITE,DRAGON_TAIL_FAST,DRACO_METEOR,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.87120086617409,224999,2.666884404605599,1.2640381
CROBAT,AIR_SLASH_FAST,CROSS_POISON,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8751295293834815,225471,3.2483230185998364,1.266692
NINJASK,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8820098341668612,224738,5.329870623096935,1.2713398
DRAGONITE,DRAGON_TAIL_FAST,OUTRAGE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8880993435598878,227030,2.699881595921754,1.2754534
TOGEKISS,HIDDEN_POWER_POISON_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8926959342873013,227583,3.27649372970366,1.2785585
TOGEKISS,HIDDEN_POWER_ICE_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.8926959342873013,227583,3.27649372970366,1.2785585
TALONFLAME,FIRE_SPIN_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.915071062040282,230273,3.979594213744763,1.2936734
TALONFLAME,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9300526525841335,232075,3.973232914779372,1.3037938
TALONFLAME,INCINERATE_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9307439694079724,232158,3.9618559683002412,1.3042608
TALONFLAME,INCINERATE_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9324842521876404,232367,3.960898059468365,1.3054364
TORNADUS_THERIAN_FORM,ASTONISH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9418707654994123,233496,4.162629339643714,1.3117772
RAYQUAZA,SPLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9550310988947222,235078,3.002450165554373,1.3206673
NINJASK,METAL_CLAW_FAST,BUG_BUZZ,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9683862444827884,235080,5.569094980101125,1.329689
DRAGONITE,DRAGON_TAIL_FAST,DRAGON_CLAW,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9776238360119518,237795,2.8118985405645605,1.3359292
LUGIA,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9784033808501391,237889,2.267435066452582,1.3364558
PIDGEOT,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,1.9937873266674802,239739,4.637052001533707,1.346848
CROBAT,AIR_SLASH_FAST,AIR_CUTTER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.000996117967369,240606,3.4171078327473032,1.3517177
CROBAT,BITE_FAST,SLUDGE_BOMB,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.008672991450765,241528,3.3760529728498225,1.3569036
NOIVERN,AIR_SLASH_FAST,DRACO_METEOR,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0096337293922453,241644,3.2150872966779094,1.3575526
DRAGONITE,DRAGON_TAIL_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.021499213053483,243071,2.8840150936881077,1.365568
SKARMORY_SHADOW_FORM,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0232270610123364,243279,3.7048510798559446,1.3667352
TALONFLAME,PECK_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0289482628555326,243966,4.119552021571153,1.3706
NOIVERN,AIR_SLASH_FAST,HEAT_WAVE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0450180482542106,245898,3.278529968275192,1.3814555
DRAGONITE,DRAGON_BREATH_FAST,OUTRAGE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.045849848946534,245999,2.9060431219985685,1.3820174
DRAGONITE,STEEL_WING_FAST,OUTRAGE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0463426527380886,246058,2.848688911181213,1.3823503
TALONFLAME,PECK_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0470561745990956,246144,4.1583629862032385,1.3828323
DRAGONITE,DRAGON_TAIL_FAST,DRAGON_PULSE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.0477280990238076,246225,2.9092369829571663,1.3832862
CROBAT,AIR_SLASH_FAST,POISON_FANG,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.067012581670127,248543,3.4835083103417763,1.3963133
SKARMORY_SHADOW_FORM,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.073486534273327,249322,3.7647620171445224,1.4006866
SWELLOW,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.078138637593661,249132,6.758345601136165,1.4038292
SCYTHER,STEEL_WING_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.084978085108651,250704,3.726083515619223,1.4084494
PIDGEOT,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.092025667838698,251551,4.8920276626349315,1.4132102
NOIVERN,AIR_SLASH_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.100783926632189,252604,3.3664824871293235,1.4191266
FEAROW,PECK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.117218614808332,254562,6.1132788633771735,1.4302286
FEAROW,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.123397092383613,255323,6.138260458974787,1.4344023
PIDGEOT,GUST_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.1240562859203487,255402,4.935381985480495,1.4348476
CROBAT,AIR_SLASH_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.137510021873442,257020,3.620552640276927,1.4439359
SWELLOW,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.1436058967104574,256761,7.011243976559569,1.4480538
CHATOT,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.1557403573885927,253274,7.740863473895957,1.4562509
PIDGEOT,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.1709662033412958,261043,5.092292637699187,1.4665363
TALONFLAME,FIRE_SPIN_FAST,FLAME_CHARGE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.188988107574227,263210,4.456409444976418,1.4787105
PIDGEOT,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.196855648310108,264156,5.0746625352711225,1.4840252
NOIVERN,AIR_SLASH_FAST,PSYCHIC,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.2019034453927806,264763,3.4701575763359385,1.4874351
CROBAT,AIR_SLASH_FAST,SHADOW_BALL,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.2204844724616093,266997,3.7073686404743778,1.499987
NINJASK,METAL_CLAW_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.223100817974356,265821,6.118062670493739,1.5017544
PIDGEOT,GUST_FAST,AIR_CUTTER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.245843661142843,270047,5.151920635190512,1.5171177
SWELLOW,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.250228119748509,270091,7.168296737742253,1.5200795
NOIVERN,BITE_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.25875677845768,271599,3.5576987032458725,1.5258408
PIDGEOT,GUST_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.26928063377321,272865,5.184959981033686,1.5329499
CROBAT_SHADOW_FORM,BITE_FAST,AIR_CUTTER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.271465165329825,273127,4.51690311562555,1.5344256
SWELLOW,WING_ATTACK_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.307426667124584,276410,7.448419954994652,1.5587184
NINJASK,FURY_CUTTER_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.3084629021924368,276141,6.319152022028979,1.5594184
FEAROW,PECK_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.3286555708589383,280004,6.6359938744953135,1.573059
GLISCOR_SHADOW_FORM,WING_ATTACK_FAST,EARTHQUAKE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.3494582859132427,282505,6.390662862275324,1.5871117
CROBAT,BITE_FAST,CROSS_POISON,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.3515914498172084,282762,3.86834925185005,1.5885527
SKARMORY_SHADOW_FORM,AIR_SLASH_FAST,FLASH_CANNON,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.354488466999762,283110,4.096159925679737,1.5905097
CHATOT,PECK_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.366241593172928,278212,8.43208899856123,1.5984492
NINJASK,SPLASH_FAST,BUG_BUZZ,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.3797050993423756,285543,6.287999920788143,1.6075441
NINJASK,FURY_CUTTER_FAST,SHADOW_BALL,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.383286475770456,285593,6.4175887268016565,1.6099634
CHATOT,PECK_FAST,HEAT_WAVE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,2.455722563752142,288978,8.652797287696353,1.6588956
